Image;La2_length;La2_mm;La3_length;La3_mm;La4_length;La4_mm;Ra2_length;Ra2_mm;Ra3_length;Ra3_mm;Ra4_length;Ra4_mm;Body_length;Body_mm
img (318).JPG;113.4093792;0.228921786;140.9949408;0.284604448;156.0938117;0.315082178;94.14726038;0.190040358;129.8802231;0.262168905;161.693863;0.326386126;2065.24992;4.16879719
;;;;;;;;;;;;;;
img (320).JPG;102.5374968;0.206976417;134.9075042;0.272316691;142.9400928;0.288530822;99.55756364;0.200961292;140.842927;0.284297601;137.297844;0.277141696;2058.171275;4.154508636
;;;;;;;;;;;;;;
img (322).JPG;97.82087588;0.197455712;119.0137633;0.240234481;121.4571257;0.245166515;91.54565441;0.184788903;115.8474132;0.233843065;1503.484762;3.034849676;;
;;;;;;;;;;;;;;
img (324).JPG;110.9574127;0.223972385;131.5950895;0.265630437;136.9518846;0.276443362;115.262995;0.232663391;134.9104124;0.272322561;147.1004998;0.296928785;1995.579091;4.028163578
;;;;;;;;;;;;;;
img (326).JPG;106.5722313;0.215120705;134.6715168;0.27184034;145.6049271;0.293909907;124.6300733;0.251571248;146.4280139;0.295571343;158.6265608;0.320194643;2206.934591;4.454793888
;;;;;;;;;;;;;;
img (329).JPG;117.016567;0.236203053;145.4938849;0.293685763;147.367654;0.297468048;122.8583096;0.247994865;139.0416526;0.28066165;146.9486048;0.296622179;2120.949238;4.281228697
;;;;;;;;;;;;;;
img (33).JPG;104.4842098;0.210905942;140.3895847;0.28338251;141.7265201;0.286081173;115.345508;0.232829947;123.703301;0.249700517;161.8771379;0.326756075;2178.494585;4.397386495
;;;;;;;;;;;;;;
img (331).JPG;117.3525959;0.236881342;149.2249927;0.301217167;149.7720543;0.302321435;121.7567684;0.245771356;151.9414403;0.306700435;149.7376747;0.302252038;2260.305298;4.562524992
;;;;;;;;;;;;;;
img (333).JPG;105.955646;0.2138761;139.228081;0.281037964;142.0303521;0.286694471;112.8727221;0.227838521;141.9672233;0.286567043;151.2136684;0.305231396;1995.828081;4.028666176
;;;;;;;;;;;;;;
img (335).JPG;102.7492137;0.207403777;122.4204141;0.247110954;143.6716995;0.290007602;87.02664767;0.17566709;138.4138406;0.279394384;134.7040443;0.271905998;2184.426371;4.409360064
;;;;;;;;;;;;;;
img (339).JPG;100.111049;0.202078526;129.2880113;0.260973499;148.9078731;0.300577047;100.559345;0.202983431;133.3179992;0.269108206;134.9055908;0.272312829;1936.345369;3.908597722
;;;;;;;;;;;;;;
img (341).JPG;105.8014813;0.213564912;139.078969;0.280736975;138.3095852;0.27918394;113.7711045;0.229651945;139.7475567;0.282086548;145.4860716;0.293669992;2199.513306;4.439813701
